iter	Passed	Remaining
0	103	20618
1	202	20088
2	298	19570
3	386	18914
4	472	18414
5	605	19589
6	695	19189
7	781	18763
8	872	18508
9	957	18199
10	1038	17850
11	1120	17560
12	1205	17339
13	1283	17051
14	1366	16854
15	1452	16708
16	1543	16615
17	1628	16465
18	1720	16390
19	1810	16297
20	1900	16197
21	1989	16095
22	2077	15986
23	2167	15892
24	2257	15800
25	2344	15688
26	2424	15537
27	2506	15399
28	2591	15279
29	2673	15152
30	2757	15034
31	2843	14927
32	2929	14827
33	3013	14715
34	3096	14598
35	3179	14484
36	3260	14362
37	3340	14239
38	3422	14128
39	3504	14017
40	3585	13905
41	3667	13796
42	3748	13685
43	3829	13577
44	3912	13477
45	3995	13375
46	4085	13299
47	4173	13215
48	4257	13120
49	4342	13026
50	4426	12933
51	4509	12835
52	4594	12741
53	4677	12646
54	4762	12555
55	4845	12460
56	4898	12290
57	4981	12197
58	5064	12102
59	5154	12028
60	5236	11933
61	5318	11838
62	5402	11747
63	5484	11655
64	5568	11565
65	5649	11470
66	5733	11380
67	5816	11290
68	5899	11200
69	5982	11109
70	6067	11023
71	6152	10937
72	6235	10847
73	6319	10759
74	6400	10667
75	6484	10580
76	6566	10488
77	6647	10397
78	6730	10308
79	6813	10219
80	6894	10129
81	6976	10039
82	7059	9950
83	7140	9860
84	7224	9773
85	7309	9689
86	7399	9610
87	7479	9519
88	7561	9430
89	7646	9345
90	7729	9258
91	7814	9173
92	7896	9084
93	7981	9000
94	8064	8912
95	8143	8822
96	8226	8735
97	8310	8649
98	8393	8563
99	8476	8476
100	8556	8387
101	8642	8303
102	8723	8214
103	8810	8132
104	8891	8044
105	8972	7957
106	9056	7871
107	9140	7786
108	9225	7702
109	9309	7617
110	9391	7530
111	9475	7445
112	9559	7359
113	9643	7275
114	9727	7189
115	9811	7104
116	9894	7018
117	9975	6931
118	10059	6847
119	10149	6766
120	10238	6684
121	10326	6602
122	10411	6517
123	10496	6433
124	10578	6347
125	10664	6263
126	10745	6176
127	10827	6090
128	10911	6005
129	10993	5919
130	11077	5834
131	11157	5747
132	11242	5663
133	11326	5578
134	11406	5491
135	11488	5406
136	11572	5321
137	11654	5236
138	11735	5149
139	11819	5065
140	11902	4980
141	11985	4895
142	12067	4810
143	12159	4728
144	12274	4655
145	12381	4579
146	12474	4497
147	12558	4412
148	12641	4327
149	12725	4241
150	12809	4156
151	12891	4071
152	12974	3985
153	13059	3900
154	13142	3815
155	13224	3729
156	13307	3644
157	13390	3559
158	13471	3473
159	13555	3388
160	13637	3303
161	13718	3217
162	13803	3133
163	13884	3047
164	13971	2963
165	14058	2879
166	14143	2794
167	14227	2709
168	14308	2624
169	14390	2539
170	14471	2454
171	14553	2369
172	14636	2284
173	14720	2199
174	14803	2114
175	14884	2029
176	14965	1944
177	15049	1860
178	15132	1775
179	15221	1691
180	15306	1606
181	15390	1522
182	15472	1437
183	15556	1352
184	15643	1268
185	15728	1183
186	15813	1099
187	15899	1014
188	15982	930
189	16065	845
190	16146	760
191	16232	676
192	16316	591
193	16399	507
194	16482	422
195	16562	338
196	16643	253
197	16721	168
198	16803	84
199	16885	0
